f_in	f_out	seqlen	lrate	epochs	epochs_syr	embsize	n_heads	n_enc	n_dec	network	dropout	batchsize	complete	distinct	job	times	data_size
t-in_01043	t-out_01043	9	0.00028	20	0	512	8	3	3	transformer	0.14	128	0.0	[0.5637663885578069, 0.38259833134684146, 0.27532777115613827, 0.19427890345649582, 0.1632896305125149, 0.15137067938021453, 0.11799761620977355, 0.08343265792610251, 0.09177592371871275]	9937	"(""10:55:54"", ""11:01:18"")"	109320
t-in_02086	t-out_02086	9	0.00028	20	0	512	8	3	3	transformer	0.14	128	0.09301045679691801	[0.7760044028618602, 0.7259218492019813, 0.6879471656576774, 0.6653824986241057, 0.6323610346725371, 0.6152999449642268, 0.5888827738029719, 0.5553109521188773, 0.5184369840396258]	9938	"(""10:55:53"", ""11:06:19"")"	226209
t-in_03129	t-out_03129	9	0.00028	20	0	512	8	3	3	transformer	0.14	128	0.21940463065049612	[0.850790150679897, 0.8511576626240352, 0.8408673281881661, 0.802646085997795, 0.7945608232267549, 0.7934582873943403, 0.7930907754502021, 0.7883131201764058, 0.7765527379639838]	9939	"(""10:55:54"", ""11:11:31"")"	338382
t-in_04172	t-out_04172	9	0.00028	20	0	512	8	3	3	transformer	0.14	128	0.39202471215950574	[0.8882336422353272, 0.8927267621454648, 0.8859870822802584, 0.8885144622297108, 0.8755967424880652, 0.8727885425442291, 0.8682954226340915, 0.8699803426003931, 0.8573434428531311]	9940	"(""10:55:53"", ""11:16:07"")"	445894
t-in_05215	t-out_05215	9	0.00028	20	0	512	8	3	3	transformer	0.14	128	0.4593140551445864	[0.9096615108720018, 0.911454830755436, 0.9054023761488456, 0.904954046177987, 0.9022640663528357, 0.8977807666442502, 0.9013674064111186, 0.896884106702533, 0.8906074871105133]	9941	"(""10:55:53"", ""11:21:47"")"	559978
t-in_06258	t-out_06258	9	0.00028	20	0	512	8	3	3	transformer	0.14	128	0.5328663793103449	[0.9197198275862069, 0.9227729885057471, 0.9249281609195402, 0.9254669540229885, 0.9200790229885057, 0.9172054597701149, 0.9150502873563219, 0.9150502873563219, 0.9145114942528736]	9942	"(""10:55:54"", ""11:28:22"")"	686498
t-in_07301	t-out_07301	9	0.00028	20	0	512	8	3	3	transformer	0.14	128	0.5910452231206949	[0.9326145552560647, 0.9363581910751722, 0.9374064091045223, 0.9354597184785864, 0.9329140461215933, 0.9315663372267146, 0.9309673554956573, 0.9311171009284217, 0.9305181191973645]	9943	"(""10:55:53"", ""11:35:06"")"	820240
t-in_08344	t-out_08344	9	0.00028	20	0	512	8	3	3	transformer	0.14	128	0.5906906147229952	[0.9366304072856059, 0.9409309385277005, 0.9396660763976726, 0.940677966101695, 0.9375158107766254, 0.9341006830255502, 0.9324563622565141, 0.9329623071085251, 0.9266379964583861]	9944	"(""10:55:54"", ""11:41:46"")"	956809
t-in_09387	t-out_09387	9	0.00028	20	0	512	8	3	3	transformer	0.14	128	0.6054459265792085	[0.9413515599162166, 0.9452100099217285, 0.9417925256311321, 0.94201300848859, 0.9399184213427406, 0.9399184213427406, 0.9371623856245177, 0.9365009370521442, 0.9295557270422224]	9945	"(""11:01:48"", ""12:01:09"")"	1090051
t-in_10430	t-out_10430	9	0.00028	20	0	512	8	3	3	transformer	0.14	128	0.6304539660751054	[0.9465633885675067, 0.9505833905284832, 0.9466614373958231, 0.9476419256789881, 0.9467594862241396, 0.9431316795764291, 0.9438180213746445, 0.9431316795764291, 0.9340131385429944]	9946	"(""11:06:49"", ""12:07:00"")"	1222918
t-in_11473	t-out_11473	9	0.00028	20	0	512	8	3	3	transformer	0.14	128	0.6229463556322048	[0.9446310247798856, 0.9420894980484705, 0.9397295089407279, 0.9379141327040029, 0.9360987564672778, 0.933647998547699, 0.9353726059725879, 0.9344649178542253, 0.9247526549877462]	9947	"(""11:11:48"", ""12:16:14"")"	1335455
t-in_12516	t-out_12516	9	0.00028	20	0	512	8	3	3	transformer	0.14	128	0.6389546753777052	[0.9452837893017558, 0.9460187831768069, 0.9438138015516537, 0.9441404654961209, 0.9435688035933034, 0.9441404654961209, 0.945202123315639, 0.944467129440588, 0.9415271539403838]	9948	"(""11:16:48"", ""12:28:11"")"	1470900
t-in_13559	t-out_13559	9	0.00028	20	0	512	8	3	3	transformer	0.14	128	0.6588474883089456	[0.9491627696485141, 0.9536129129582139, 0.9500678835420123, 0.9511238497510937, 0.9484085080705988, 0.9467491325991854, 0.9477296726504751, 0.9482576557550159, 0.9422989892894856]	9949	"(""11:21:52"", ""12:39:54"")"	1594879
