ec,lex,ls,sp,pfm,vbs,vbe,nme,prs,vt,ps,nu,gn,st,form
1,"R<H[",0,1,1,0,1,6,0,4,0,0,0,0,"!!R<(H[/WT"
1,"ZMM/",0,2,-1,-1,-1,1,6,-1,-1,1,2,2,"ZMM/+W"
1,">LJHW=/",0,3,-1,-1,-1,1,-1,-1,-1,1,2,0,">LJHW=/"
3,"KWL[",0,1,0,1,3,0,13,2,2,1,2,-1,"K(WL&K&L[T:d+M"
1,"MS</",0,2,-1,-1,-1,5,12,-1,-1,3,2,2,"MS</J+HM"
2,"LXM=[",0,1,1,0,7,0,0,3,2,3,2,-1,"!!LXM=[W"
3,"MWV[",0,1,0,6,2,0,0,2,3,1,1,-1,"]HT]MWV&V[H"
1,">NK/",0,2,-1,-1,-1,1,0,-1,-1,1,2,0,">NK/"
3,">PRX/",0,2,-1,-1,-1,4,0,-1,-1,3,2,2,">PRX/JM"
2,"NKH[",0,1,3,8,7,0,0,1,2,3,2,-1,"!T!](H](NK(H[W:u"
2,"YRR=[",0,1,0,0,7,0,2,2,3,3,0,-1,"YRR=[W+NJ"
1,"<FH[",0,1,8,0,15,0,0,1,3,3,1,-1,"!T=!<F(H&J[NH"
2,"BKH/",0,2,-1,-1,-1,1,0,-1,-1,1,2,0,"BKH/"
2,"RWC[",0,1,0,0,1,4,0,6,0,3,2,2,"R(WC[/JM"
2,"JY>[",0,1,7,8,1,3,0,62,0,1,1,0,"!M!](H](J&WY>[/T:u"
2,"CMR==/",0,3,-1,-1,-1,1,-1,-1,-1,1,1,0,"CMR==/"
1,"MZRH/",0,2,-1,-1,-1,1,0,-1,-1,1,2,2,"MZRH/:a"
2,"PSS[",0,1,0,0,7,0,0,2,3,3,0,-1,"PS(S[W"
2,"CWB[",0,1,2,0,7,0,0,1,3,3,2,-1,"!J!C(WB[W"
2,"MXBRWT/",0,2,-1,-1,-1,6,0,-1,-1,3,1,0,"MXBR(W(T/WT"
1,"B<T[",0,1,2,1,7,0,7,1,3,3,2,-1,"!J!B<T[(W:d+HW"
1,"NB/",0,3,-1,-1,-1,7,-1,-1,-1,1,0,0,"NB/~H"
1,"CM<[",0,1,0,3,1,1,0,6,0,1,2,2,"]N]CM<[/:a"
2,"<RK[",0,1,1,0,1,1,0,5,0,0,0,2,"!!<RK[/:a"
1,">DM=/",0,13,-1,-1,-1,4,0,-1,-1,3,2,2,">DM=/JM"
1,"HNH",0,10,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,"HN(H+W"
2,"C>L[",0,1,0,0,1,0,0,2,3,1,2,-1,"C>L["
2,">WLJ",0,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,">(WLJ"
1,"HGH[",0,1,5,0,1,0,0,1,1,3,0,-1,"!N!HGH["
1,"ZR<[",0,1,0,0,7,0,0,2,3,3,0,-1,"ZR<[W"
2,"B<R[",0,1,0,0,1,2,0,6,0,1,1,2,"B<R[/H"
1,"VM>[",0,1,0,0,1,0,0,2,3,1,2,-1,"VM>["
2,"<MD[",0,1,1,0,1,1,0,5,0,0,0,2,"!!<MD[/:a"
1,"MCL[",0,1,1,0,1,1,0,4,0,0,0,0,"!!MCL[/:c"
1,">ZRX/",0,2,-1,-1,-1,1,0,-1,-1,1,2,2,">ZRX/:a"
1,"SPR[",0,1,2,1,1,0,0,1,3,1,2,-1,"!J!SPR[:d"
1,"JBWSJ/",-2,13,-1,-1,-1,1,0,-1,-1,1,2,0,"JBWSJ/"
1,"B>C[",0,1,0,2,8,0,0,2,2,3,2,-1,"]H]B>C[TM"
2,"NF>[",0,1,8,6,1,0,0,1,3,1,1,-1,"!T=!](H(T]NF>["
2,"GCM=/",0,3,-1,-1,-1,1,-1,-1,-1,1,2,0,"GCM=/"
2,"YXQ[",0,1,0,0,5,0,0,2,2,1,1,-1,"YXQ[T="
1,"NVP[",0,1,3,2,1,0,0,1,2,1,2,-1,"!T!](H](NV&JP["
3,"<R<WR/",0,3,-1,-1,-1,1,-1,-1,-1,1,0,0,"<R<WR/"
1,"SPD[",0,1,1,0,15,0,0,3,2,3,1,-1,"!!SPD[NH"
2,"M<DJH/",0,3,-1,-1,-1,1,-1,-1,-1,1,2,0,"M<DJH/"
2,"M<RKT/",0,2,-1,-1,-1,6,0,-1,-1,3,1,2,"M<RK(T/WT:a"
1,"SPR[",0,1,1,0,1,1,0,4,0,0,0,0,"!!SPR[/:c"
1,"BRK[",0,1,1,1,1,1,6,4,0,0,0,2,"!!BRK[/:d+W"
2,"MWC<WT/",0,2,-1,-1,-1,6,0,-1,-1,3,1,0,"MWC<(W(T/WT"
1,"ML>=/",0,2,-1,-1,-1,1,0,-1,-1,1,2,0,"ML>=/"
2,"KWS=/",0,2,-1,-1,-1,1,0,-1,-1,1,2,0,"KWS=/"
2,"CMN==/",0,13,-1,-1,-1,5,0,-1,-1,3,2,1,"CMN==/J"
3,"JLD[",0,1,0,0,1,3,10,6,0,1,1,2,"J&WLD[/T+KM"
2,"BW>[",0,1,0,0,5,0,0,2,2,1,1,-1,"B(W>[T="
1,"CRT[",0,1,2,1,1,0,7,1,3,1,2,-1,"!J!CRT[:d+HW"
1,">LHJM/",0,2,-1,-1,-1,5,0,-1,-1,3,2,1,">L&WH(J(M/J"
1,"CWV[",0,1,1,0,1,0,0,3,2,1,2,-1,"!!CWV["
1,"XNN[",0,1,2,0,1,0,0,1,3,1,2,-1,"!J!XN(N["
1,">LJL/",0,2,-1,-1,-1,5,8,-1,-1,3,2,2,">LJL/J+H"
3,"TWGRMH/",0,3,-1,-1,-1,1,-1,-1,-1,1,0,0,"TWGRMH/"
2,"DMH[",0,1,4,6,1,0,0,1,1,1,0,-1,"!>!](H(T]DMH["
1,"SWR[",0,1,3,0,7,0,0,1,2,3,2,-1,"!T!S(WR[W"
1,"STR[",0,1,0,3,1,6,0,6,0,3,1,2,"]N]STR[/(WT:a"
2,"RWM[",0,1,2,8,1,0,0,1,3,1,2,-1,"!J!](H&W]R(WM[:u"
2,"<LH/",0,2,-1,-1,-1,2,0,-1,-1,1,1,2,"<&WL(H/H"
1,"MQHLT/",0,3,-1,-1,-1,1,-1,-1,-1,1,0,0,"MQHLT/"
1,"MGLH/",0,2,-1,-1,-1,3,0,-1,-1,1,1,1,"MGL(H/T:c"
2,"CLK[",0,1,1,2,12,0,0,3,2,1,1,-1,"!!]H]CL&JK[J"
1,"RP>[",0,1,1,0,18,0,0,3,2,1,2,-1,"!!RP>[H="
1,"CKBH/",0,2,-1,-1,-1,3,0,-1,-1,1,1,1,"CKB(H/T:c"
3,"XNN[",0,1,1,6,1,1,6,4,0,0,0,2,"!!]HT]XNN[/+W"
2,">PRX/",0,2,-1,-1,-1,5,6,-1,-1,3,2,2,">PRX/(J+W"
1,"B<JR/",0,2,-1,-1,-1,1,9,-1,-1,1,2,2,"B<JR/+NW"
2,"JDH[",0,1,7,6,1,4,0,6,0,3,2,2,"!M!](HT](J&WD(H[/JM"
1,"YWH[",0,1,2,1,1,0,9,1,3,1,2,-1,"!J!YW(H[:d+NW"
2,"FJM[",0,1,0,0,2,0,7,2,3,1,1,-1,"F(JM[(H&T+HW"
1,"QYP[",0,1,4,0,1,0,0,1,1,1,0,-1,"!>!QYP["
1,"BXR[",0,1,1,0,1,1,0,5,0,0,0,2,"!!BX&WR[/:a"
2,"HYBBH/",0,3,-1,-1,-1,1,-1,-1,-1,1,2,0,"HYBBH/"
2,"QR>[",0,1,1,0,1,6,0,4,0,0,0,0,"!!QR>[/WT"
2,"LQX[",0,1,8,0,1,0,7,1,3,1,1,-1,"!T=!(LQX[+HW"
2,">L==/",0,2,-1,-1,-1,1,0,-1,-1,1,2,0,">L==/"
1,"C>LH/",0,2,-1,-1,-1,3,3,-1,-1,1,1,2,"C>L(H/T+J"
1,">XZ[",0,1,0,0,1,4,0,62,0,3,2,2,">X&WZ[/JM:p"
2,"XCB[",0,1,3,1,1,0,7,1,2,1,2,-1,"!T!XCB[:d+HW"
2,"M>RH/",0,2,-1,-1,-1,6,0,-1,-1,3,1,0,"M>R(H/WT"
1,"MQNH/",0,2,-1,-1,-1,1,0,-1,-1,1,2,2,"MQNH/:a"
2,"<CWQJM/",0,2,-1,-1,-1,4,0,-1,-1,3,2,2,"<CWQ(J(M/JM"
2,"BFR[",0,1,4,1,18,0,0,1,1,1,0,-1,"!>!BFR[H=:d"
1,"CJV/",0,2,-1,-1,-1,1,0,-1,-1,1,2,2,"CJV/:a"
1,"MWCB/",0,2,-1,-1,-1,1,0,-1,-1,1,2,1,"MWCB/:c"
1,"SPR[",0,1,1,1,7,0,0,3,2,3,2,-1,"!!SPR[W:d"
2,"FWKH=/",0,3,-1,-1,-1,1,-1,-1,-1,1,0,0,"FWK(H&W=/"
1,"XV>T/",0,2,-1,-1,-1,12,3,-1,-1,3,1,2,"XV(>(T/&>WTJ+(J"
1,"XKM/",0,13,-1,-1,-1,4,0,-1,-1,3,2,2,"XKM/JM"
2,"XRJV/",0,2,-1,-1,-1,4,0,-1,-1,3,2,2,"XR(JV/JM"
1,">WT[",0,1,5,3,18,0,0,1,1,3,0,-1,"!N!](N]>WT[H="
1,"CDD[",0,1,2,0,1,0,13,1,3,1,2,-1,"!J!CDD[+M"
1,"MCBYWT/",0,2,-1,-1,-1,6,0,-1,-1,3,1,0,"MCBY(W(T/(WT"
1,"G>L=[",0,1,0,3,7,0,0,2,3,3,0,-1,"]N]G>L=[W"
1,"<ML/",0,2,-1,-1,-1,1,0,-1,-1,1,0,2,"<ML/:a"
1,"QR<[",0,1,4,0,1,0,0,1,1,1,0,-1,"!>!QR<["
2,"QYH=/",0,2,-1,-1,-1,1,7,-1,-1,1,2,2,"QY(H=/+HW"
1,"J<Y[",0,1,0,0,1,1,5,6,0,1,2,2,"J&W<Y[/+K="
1,"RBH[",0,1,8,0,1,0,0,1,3,1,1,-1,"!T=!RBH["
1,"MXMD/",0,2,-1,-1,-1,5,0,-1,-1,3,2,1,"MXMD/J"
1,"TMRH/",0,2,-1,-1,-1,2,0,-1,-1,1,1,2,"TMR(H/H"
2,">XD/",-1,2,-1,-1,-1,1,0,-1,-1,1,0,0,">XD/"
2,"KBC[",0,1,0,1,1,0,0,2,3,1,2,-1,"KBC[:d"
2,"HBL=/",0,3,-1,-1,-1,1,-1,-1,-1,1,2,0,"HBL=/"
2,"TRN/",0,2,-1,-1,-1,1,0,-1,-1,1,2,0,"TRN/"
2,"B<L[",0,1,2,0,7,0,5,1,3,3,2,-1,"!J!B<L[W+K="
2,"R<=/",-6,2,-1,-1,-1,1,0,-1,-1,1,2,0,"R<=/&H"
1,"XJH[",0,1,1,0,1,6,0,4,0,0,0,0,"!!XJ(H[/WT"
1,"BJT/",0,2,-1,-1,-1,1,0,-1,-1,1,2,1,"BJT/:c"
1,"BNH[",0,1,1,0,1,0,0,3,2,1,2,-1,"!!BNH["
2,"B>R=/",0,3,-1,-1,-1,7,-1,-1,-1,1,0,0,"B>R=/~H"
1,"RHB[",0,1,1,0,1,0,0,3,2,1,2,-1,"!!RHB["
1,"KPJR/",0,2,-1,-1,-1,4,0,-1,-1,3,2,2,"KP(JR/JM"
1,"RNH/",0,2,-1,-1,-1,3,3,-1,-1,1,1,2,"RN(H/T+J"
1,"GDWL/",0,13,-1,-1,-1,6,0,-1,-1,3,1,0,"GD(WL/(WT"
2,"<BD[",0,1,1,0,1,1,0,4,0,0,0,0,"!!<BD[/:c"
2,"BWR/",0,2,-1,-1,-1,1,0,-1,-1,1,2,0,"B(WR/"
1,"M<L/",0,2,-1,-1,-1,1,0,-1,-1,1,0,2,"M<L/:a"
2,"XKJLH/",0,3,-1,-1,-1,1,-1,-1,-1,1,0,0,"XKJLH/"
1,">T==",0,5,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,">T=="
1,"YM>=/",0,2,-1,-1,-1,1,0,-1,-1,1,2,2,"YM>=/:a"
2,"XMH/",0,2,-1,-1,-1,2,0,-1,-1,1,1,2,"XM(H/(H&>"
1,"FQ/",0,2,-1,-1,-1,4,0,-1,-1,3,2,2,"FQ/JM"
2,"<RK[",0,1,1,0,18,0,0,3,2,1,2,-1,"!!<RK[H="
1,"<JBL=/",0,3,-1,-1,-1,1,-1,-1,-1,1,2,0,"<JBL=/"
1,"CM<[",0,1,0,0,1,3,0,6,0,1,1,0,"CM<[/T"
1,">T==",0,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,">T==+KM"
2,"BL<[",0,1,2,0,1,0,8,1,3,1,2,-1,"!J!BL<[~N+H"
1,"GWRL/",0,2,-1,-1,-1,1,0,-1,-1,1,2,2,"GWRL/:a"
1,"KHN/",0,2,-1,-1,-1,5,3,-1,-1,3,2,2,"KHN/J+(J"
2,"NWD[",0,1,1,0,12,0,0,3,2,1,1,-1,"!!NWD[(J&W"
2,"MWR>/",0,2,-1,-1,-1,1,0,-1,-1,1,2,0,"M(WR>/"
2,"DBWRH=/",0,3,-1,-1,-1,1,-1,-1,-1,1,1,0,"DB(WRH=/"
1,"BXR[",0,1,1,0,7,0,0,3,2,3,2,-1,"!!BXR[W"
1,"JSP[",0,1,3,2,1,0,0,1,2,1,2,-1,"!T!](H](JS&JP["
