job	seqlen	epochs	lrate	times	f_in	f_out	embsize	n_heads	n_enc	n_dec	network	complete	distinct
1192	4	14	0.0001975	"(""18:47:56"", ""21:35:10"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7182055104758219	[0.9414924489865595, 0.9471941185173383, 0.9466023284662395, 0.7736744471884283]
1344	4	14	7.92e-06	"(""17:23:41"", ""20:10:02"")"	t-in_voc	t-out	512	8	3	3	transformer	0.3821029031854238	[0.7952975452093457, 0.7879684530380453, 0.7822326417735492, 0.6781686374034074]
1345	4	14	9.73e-06	"(""17:23:42"", ""20:09:12"")"	t-in_voc	t-out	512	8	3	3	transformer	0.4300720390581434	[0.8177628059952884, 0.8167271734058655, 0.8133471417678589, 0.696195472806109]
1346	4	14	1.21e-05	"(""17:23:47"", ""20:12:51"")"	t-in_voc	t-out	512	8	3	3	transformer	0.4805562826480329	[0.842834219121647, 0.8435284343738975, 0.8417872059543183, 0.7122079459194938]
1347	4	14	1.6e-05	"(""17:30:19"", ""20:16:39"")"	t-in_voc	t-out	512	8	3	3	transformer	0.5395418179335146	[0.871069432905803, 0.8718091704696764, 0.8700338003163801, 0.7290398206420922]
1348	4	14	2.3100000000000002e-05	"(""17:30:22"", ""20:18:34"")"	t-in_voc	t-out	512	8	3	3	transformer	0.6029088757127087	[0.8972675232448304, 0.9003744210130991, 0.898314536412159, 0.7463610602146377]
1349	4	14	3.52e-05	"(""17:30:23"", ""20:16:53"")"	t-in_voc	t-out	512	8	3	3	transformer	0.6577063583288759	[0.9190727105122398, 0.9239208367000876, 0.9212805426259545, 0.7590617851574503]
1350	4	14	6.24e-05	"(""17:33:49"", ""20:22:34"")"	t-in_voc	t-out	512	8	3	3	transformer	0.6978456566024422	[0.9336626113874062, 0.9403202494622677, 0.9392959974507505, 0.7689287462017321]
1351	4	14	0.000103	"(""17:33:51"", ""20:20:41"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7132321979310109	[0.9390001024252012, 0.9457715462791201, 0.9450204281373408, 0.7731281794489524]
1352	4	14	0.00018999999999999998	"(""17:33:52"", ""20:20:55"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7163618568550911	[0.940889278357555, 0.9467388954011084, 0.9464202392197476, 0.7728095232675916]
1377	4	14	0.000215	"(""20:31:12"", ""23:17:55"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7200377835186471	[0.9415721130318998, 0.9480362812823635, 0.94783143088006, 0.775210825205704]
1378	4	14	0.000226	"(""20:31:13"", ""23:21:15"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7175454369572887	[0.9413217403179733, 0.9476151998998509, 0.946534044998805, 0.7736175442988995]
1379	4	14	0.00023799999999999998	"(""20:31:12"", ""23:18:24"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7174202506003254	[0.9415948741877113, 0.9470234098487521, 0.9463291945965016, 0.7741410508825638]
1380	4	14	0.000251	"(""20:31:15"", ""23:20:32"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7121624236078709	[0.9396601759437344, 0.9436889005223685, 0.9441782653723156, 0.7705106465306308]
1381	4	14	0.000265	"(""20:31:16"", ""23:18:10"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7127997359705925	[0.9396260342100172, 0.9448383388908489, 0.9446790108001685, 0.7715918014316767]
1382	4	14	0.000281	"(""20:31:15"", ""23:19:28"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7122420876532111	[0.9390797664705414, 0.9450659504489638, 0.9444172575083363, 0.7712731452503158]
1383	4	14	0.000299	"(""20:31:17"", ""23:17:49"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7122307070753053	[0.9394667061193367, 0.9449407640920006, 0.9449976669815293, 0.7714210927630905]
1389	4	10	0.000205	"(""10:46:11"", ""13:21:28"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7021361344729086	[0.9353241757616452, 0.9417314411225802, 0.9403430106180792, 0.7686897540657115]
1390	4	11	0.000205	"(""10:46:15"", ""13:23:48"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7094310849104918	[0.9383855512182908, 0.9434499083863479, 0.9435181918537824, 0.7711138171596353]
1391	4	12	0.000205	"(""10:46:16"", ""13:29:06"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7092489956639998	[0.9377482388555691, 0.9437230422560857, 0.9431540133607985, 0.7688604627342976]
1392	4	14	0.000205	"(""10:46:16"", ""13:34:02"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7192866653768678	[0.9420614778818468, 0.9487646382683312, 0.9476265804777566, 0.7747214603557568]
1393	4	15	0.000205	"(""10:46:19"", ""13:37:59"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7214717363347711	[0.9427215514003802, 0.948730496534614, 0.9481159453277037, 0.7744824682197362]
1394	4	17	0.000205	"(""10:46:19"", ""13:42:54"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7220635263858699	[0.94218666423881, 0.9491288167613151, 0.9475810581661337, 0.7736061637209938]
1395	4	19	0.000205	"(""10:46:18"", ""13:50:46"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7290170594862807	[0.9436547587886512, 0.9517235885238252, 0.951780491413354, 0.777088620560152]
1396	4	21	0.000205	"(""10:46:21"", ""13:54:53"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7303599676791588	[0.9453959872082305, 0.9523381397307356, 0.9524405649318872, 0.7777031717670624]
1397	4	24	0.000205	"(""10:46:23"", ""14:08:29"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7367899941959053	[0.9475582970103222, 0.9551150007397375, 0.9550922395839261, 0.7786819014669565]
1398	4	26	0.000205	"(""10:46:21"", ""14:10:05"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7360616372099376	[0.9476493416335682, 0.9541135098840319, 0.9548760086037169, 0.777760074656591]
1399	4	29	0.000205	"(""13:21:31"", ""16:56:50"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7426851335510817	[0.9493791894752416, 0.9575049220999442, 0.9564692895105213, 0.7802865629516667]
1400	4	32	0.000205	"(""13:23:51"", ""17:06:36"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7433793488033322	[0.9489467275148232, 0.9578918617487396, 0.9573228328534523, 0.7793078332517726]
1401	4	35	0.000205	"(""13:29:09"", ""17:24:59"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7481819526795571	[0.9513480294529356, 0.959621709590413, 0.95904130011722, 0.7817091351898849]
