job	seqlen	epochs	lrate	dropout	times	f_in	f_out	embsize	n_heads	n_enc	n_dec	network	batchsize	complete	distinct
5103	7	20	0.000153	0.05	"(""17:10:14"", ""19:07:02"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7177514792899409	[0.9485629754860524, 0.951141166525782, 0.9492392223161454, 0.9475908706677938, 0.9489010989010989, 0.9476754015215554, 0.9451394759087067]
5104	7	20	0.000153	0.1	"(""17:10:13"", ""19:01:33"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.5521555367709214	[0.9060016906170753, 0.9095519864750634, 0.9098901098901099, 0.909636517328825, 0.9097633136094675, 0.9101859678782755, 0.9053677092138631]
5105	7	20	0.000153	0.15	"(""17:10:13"", ""19:02:55"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7256128486897717	[0.9498309382924768, 0.9498732037193576, 0.9492814877430262, 0.9493660185967878, 0.9499577345731192, 0.9496618765849535, 0.9494082840236686]
5106	7	20	0.000153	0.2	"(""17:10:19"", ""19:01:06"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7059594251901944	[0.9442096365173288, 0.947295012679628, 0.9462383770076078, 0.9458579881656805, 0.9478021978021978, 0.9460693153000845, 0.9439137785291631]
5107	7	20	0.000153	0.25	"(""17:10:20"", ""19:02:52"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.687658495350803	[0.9398562975486052, 0.9430684699915469, 0.9409129332206255, 0.9406593406593406, 0.9420540997464074, 0.9428994082840236, 0.9396449704142011]
5108	7	20	0.000153	0.3	"(""17:10:19"", ""19:01:38"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6524513947590871	[0.9337700760777684, 0.935207100591716, 0.9326711749788673, 0.9326289095519865, 0.9356297548605241, 0.9350803043110736, 0.9311918850380388]
5109	7	20	0.000153	0.35	"(""17:10:20"", ""19:02:48"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6033389687235841	[0.9227387996618766, 0.9230769230769231, 0.9214285714285714, 0.9213863060016906, 0.9227387996618766, 0.922654268808115, 0.9189771766694843]
5110	7	20	0.000153	0.4	"(""17:10:19"", ""19:00:59"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.5521555367709214	[0.9060016906170753, 0.9095519864750634, 0.9098901098901099, 0.909636517328825, 0.9097633136094675, 0.9101859678782755, 0.9053677092138631]
5111	7	20	0.000153	0.45	"(""17:10:49"", ""19:03:23"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.4566356720202874	[0.8797548605240912, 0.8824598478444632, 0.8813609467455621, 0.8831360946745562, 0.8827557058326289, 0.8825021132713441, 0.8758664412510566]
5112	7	20	0.000153	0.5	"(""17:10:50"", ""19:01:33"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.3510143702451395	[0.8422231614539307, 0.8461538461538461, 0.8445477599323753, 0.8453930684699915, 0.8458579881656805, 0.8453085376162299, 0.838123415046492]
5127	7	20	0.0001	0.15	"(""19:13:16"", ""21:08:09"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6923499577345731	[0.9428994082840236, 0.9443786982248521, 0.9433643279797126, 0.9431107354184277, 0.9439137785291631, 0.9437869822485208, 0.941251056635672]
5128	7	20	0.00011	0.15	"(""19:13:15"", ""21:05:06"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7013524936601859	[0.9437869822485208, 0.9459425190194422, 0.9447168216398986, 0.9444632290786137, 0.9454353338968724, 0.946407438715131, 0.9429839391377853]
5129	7	20	0.00011999999999999999	0.15	"(""19:13:16"", ""21:05:40"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7141589180050718	[0.9465765004226543, 0.9480980557903634, 0.9475908706677938, 0.9473372781065089, 0.9485629754860524, 0.9480557903634826, 0.9459425190194422]
5130	7	20	0.00013000000000000002	0.15	"(""19:13:15"", ""21:03:43"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7172020287404903	[0.9475908706677938, 0.9491969568892645, 0.9478867286559595, 0.9482248520710059, 0.9501690617075232, 0.9501690617075232, 0.9453508030431107]
5131	7	20	0.00014	0.15	"(""19:13:16"", ""21:05:50"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7184699915469146	[0.9498732037193576, 0.9502958579881656, 0.9485207100591716, 0.9487320371935757, 0.9496618765849535, 0.9490701606086221, 0.9458579881656805]
5132	7	20	0.00015	0.15	"(""19:13:15"", ""21:04:42"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7233305156382079	[0.9491546914623837, 0.9503381234150465, 0.950676246830093, 0.95, 0.9503381234150465, 0.9503803888419273, 0.9471259509721048]
5133	7	20	0.00016	0.15	"(""19:13:15"", ""21:05:34"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7255705832628909	[0.9487320371935757, 0.9514792899408284, 0.9489856297548606, 0.9495350803043111, 0.9508453085376163, 0.9509298393913779, 0.9475908706677938]
5134	7	20	0.00016999999999999999	0.15	"(""19:13:16"", ""21:04:19"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.725781910397295	[0.9486897717666949, 0.9518596787827557, 0.9510566356720203, 0.9494928148774303, 0.951141166525782, 0.9500422654268809, 0.9474640743871513]
5135	7	20	0.00018	0.15	"(""19:13:16"", ""21:05:57"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7295012679628065	[0.9494505494505494, 0.9522823330515638, 0.9504226542688081, 0.9517328825021133, 0.9519442096365174, 0.9515215553677092, 0.9483939137785292]
5136	7	20	0.00018999999999999998	0.15	"(""19:13:15"", ""21:04:25"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7349957734573119	[0.9514370245139476, 0.9543110735418427, 0.9528317836010144, 0.9524091293322062, 0.9513947590870668, 0.9515215553677092, 0.950211327134404]
5137	7	20	0.0002	0.15	"(""21:03:45"", ""22:55:00"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.73229078613694	[0.9505071851225697, 0.9530008453085376, 0.9512679628064243, 0.951098901098901, 0.9517751479289941, 0.9528317836010144, 0.9502535925612848]
5160	7	20	0.00018999999999999998	0.07	"(""21:18:26"", ""23:11:16"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7345308537616229	[0.9507607776838546, 0.9532967032967034, 0.9526627218934911, 0.9514370245139476, 0.9519864750633982, 0.9524936601859679, 0.9502958579881656]
5161	7	20	0.00018999999999999998	0.09	"(""21:18:25"", ""23:09:31"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7333474218089603	[0.9515215553677092, 0.9550295857988166, 0.9513947590870668, 0.9518596787827557, 0.9530008453085376, 0.9523245984784446, 0.9472104818258664]
5162	7	20	0.00018999999999999998	0.11	"(""21:18:25"", ""23:11:00"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7385883347421809	[0.9518596787827557, 0.9530853761622993, 0.9519019442096365, 0.952916314454776, 0.9535080304311073, 0.9530008453085376, 0.9508453085376163]
5163	7	20	0.00018999999999999998	0.13	"(""21:18:28"", ""23:10:06"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7293744716821641	[0.9504649196956889, 0.9517328825021133, 0.9498309382924768, 0.952028740490279, 0.9524936601859679, 0.9509721048182587, 0.947971259509721]
5165	7	20	0.00018999999999999998	0.17	"(""21:18:31"", ""23:09:34"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7341504649196957	[0.9512256973795435, 0.952916314454776, 0.9512679628064243, 0.9511834319526628, 0.9516906170752325, 0.9509298393913779, 0.9491546914623837]
5166	7	20	0.00018999999999999998	0.19	"(""21:18:31"", ""23:11:05"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7158918005071851	[0.9464497041420118, 0.9489856297548606, 0.9472527472527472, 0.9475063398140321, 0.9494082840236686, 0.9493660185967878, 0.9462383770076078]
5167	7	20	0.00018999999999999998	0.21	"(""21:18:32"", ""23:09:43"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7159340659340659	[0.947759932375317, 0.948647506339814, 0.9461115807269653, 0.9461115807269653, 0.9472527472527472, 0.9479289940828403, 0.9459002535925612]
5168	7	20	0.00018999999999999998	0.23	"(""22:10:51"", ""00:02:52"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7067202028740491	[0.9439560439560439, 0.9463229078613694, 0.9462806424344886, 0.9462383770076078, 0.9465765004226543, 0.9454775993237532, 0.945054945054945]
5169	7	20	0.00018999999999999998	0.25	"(""22:10:51"", ""00:01:50"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6990278951817414	[0.9433643279797126, 0.9447590870667794, 0.9439560439560439, 0.9439983093829247, 0.946407438715131, 0.9439983093829247, 0.9418005071851225]
5202	7	20	0.000175	0.1	"(""10:19:03"", ""12:12:30"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7346576500422655	[0.9516060862214708, 0.9528317836010144, 0.9521555367709214, 0.952916314454776, 0.9527895181741336, 0.9530431107354185, 0.9482671174978867]
5203	7	20	0.000175	0.105	"(""10:19:06"", ""12:10:06"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7286136939983093	[0.9494505494505494, 0.952028740490279, 0.9513524936601859, 0.9507607776838546, 0.9512679628064243, 0.950676246830093, 0.9481825866441251]
